iter	Passed	Remaining
226	48814	58706
227	49021	58481
228	49229	58259
229	49437	58034
230	49661	57831
231	49869	57607
232	50077	57385
233	50283	57159
234	50491	56937
235	50711	56727
236	50921	56507
237	51129	56285
238	51337	56062
239	51549	55844
240	51769	55635
241	51976	55413
242	52182	55189
243	52393	54970
244	52613	54761
245	52826	54544
246	53032	54320
247	53242	54101
248	53453	53882
249	53680	53680
250	53886	53457
251	54094	53236
252	54300	53013
253	54513	52796
254	54736	52590
255	54943	52368
256	55153	52149
257	55362	51929
258	55571	51709
259	55791	51499
260	55998	51277
261	56203	51054
262	56412	50835
263	56638	50631
264	56847	50411
265	57051	50188
266	57262	49970
267	57470	49750
268	57697	49546
269	57906	49328
270	58114	49107
271	58323	48889
272	58532	48669
273	58761	48467
274	58969	48248
275	59178	48029
276	59389	47811
277	59639	47625
278	59855	47412
279	60066	47194
280	60319	47010
281	60550	46808
282	60814	46631
283	61061	46441
284	61282	46230
285	61501	46018
286	61730	45813
287	61946	45599
288	62175	45394
289	62392	45180
290	62618	44973
291	62832	44757
292	63072	44559
293	63313	44362
294	63544	44158
295	63815	43980
296	64041	43772
297	64266	43563
298	64513	43368
299	64759	43172
300	64985	42963
301	65214	42756
302	65445	42550
303	65689	42352
304	65920	42146
305	66173	41952
306	66400	41743
307	66641	41542
308	66892	41347
309	67128	41143
310	67361	40937
311	67596	40731
312	67831	40525
313	68058	40314
314	68285	40104
315	68514	39894
316	68751	39689
317	68975	39476
318	69203	39265
319	69424	39051
320	69662	38846
321	69887	38633
322	70115	38422
323	70345	38212
324	70572	38000
325	70807	37793
326	71033	37580
327	71263	37369
328	71489	37157
329	71716	36944
330	71936	36728
331	72152	36510
332	72370	36294
333	72593	36079
334	72822	35867
335	73043	35652
336	73267	35438
337	73487	35221
338	73719	35011
339	73941	34795
340	74164	34580
341	74385	34365
342	74619	34155
343	74843	33940
344	75062	33723
345	75283	33507
346	75505	33292
347	75737	33080
348	75959	32864
349	76183	32650
350	76410	32436
351	76645	32226
352	76864	32008
353	77087	31793
354	77315	31579
355	77542	31365
356	77777	31154
357	78004	30940
358	78230	30725
359	78456	30510
360	78688	30298
361	78913	30083
362	79137	29867
363	79365	29652
364	79590	29437
365	79836	29229
366	80061	29014
367	80287	28798
368	80513	28583
369	80762	28375
370	80983	28158
371	81207	27942
372	81429	27725
373	81676	27516
374	81902	27300
375	82128	27084
376	82347	26866
377	82573	26650
378	82825	26442
379	83042	26223
380	83259	26005
381	83485	25788
382	83717	25574
383	83947	25359
384	84165	25140
385	84384	24921
386	84616	24707
387	84831	24487
388	85048	24268
389	85267	24049
390	85486	23831
391	85720	23616
392	85942	23399
393	86166	23181
394	86391	22964
395	86630	22751
396	86852	22533
397	87073	22315
398	87294	22097
399	87516	21879
400	87761	21666
401	87983	21448
402	88209	21231
403	88433	21013
404	88671	20799
405	88893	20581
406	89117	20363
407	89342	20145
408	89565	19927
409	89803	19712
410	90020	19493
411	90248	19276
412	90477	19059
413	90713	18843
414	90931	18624
415	91161	18407
416	91383	18188
417	91623	17973
418	91843	17754
419	92066	17536
420	92287	17317
421	92519	17100
422	92760	16885
423	92981	16666
424	93205	16448
425	93432	16230
426	93681	16015
427	93902	15796
428	94124	15577
429	94348	15359
430	94570	15140
431	94814	14924
432	95038	14705
433	95257	14486
434	95479	14266
435	95720	14050
436	95940	13831
437	96161	13611
438	96384	13392
439	96622	13175
440	96844	12956
441	97063	12736
442	97280	12516
443	97500	12297
444	97732	12079
445	97947	11859
446	98168	11639
447	98389	11420
448	98619	11201
449	98842	10982
450	99061	10762
451	99283	10543
452	99511	10324
453	99758	10107
454	99977	9887
455	100198	9668
456	100426	9449
457	100662	9231
458	100896	9012
459	101121	8793
460	101346	8573
461	101574	8354
462	101819	8136
463	102040	7916
464	102268	7697
465	102495	7478
466	102736	7259
467	102956	7039
468	103175	6819
469	103395	6599
470	103629	6380
471	103854	6160
472	104075	5940
473	104294	5720
474	104517	5500
475	104752	5281
476	104983	5062
477	105216	4842
478	105438	4622
479	105673	4403
480	105893	4182
481	106112	3962
482	106336	3742
483	106561	3522
484	106802	3303
485	107024	3083
486	107243	2862
487	107468	2642
488	107707	2422
489	107931	2202
490	108153	1982
491	108379	1762
492	108614	1542
493	108842	1321
494	109064	1101
495	109286	881
496	109525	661
497	109773	440
498	109997	220
499	110226	0
